"gene_id","transcript_id","protein_id","seqnames","strand","exon_number","product","start_transcript","end_transcript","start_gene","end_gene","transcript_number","Chrm.ID"
"FOXG_05941","XM_018384428.1","XP_018241505.1","NC_030987.1","+","4","hypothetical protein",1037573,1039913,1037573,1039913,1,"Chromosome_2"
"FOXG_19145","XM_018399327.1","XP_018241506.1","NC_030987.1","-","1","hypothetical protein",1040658,1041347,1040658,1041347,1,"Chromosome_2"
"FOXG_19146","XM_018399328.1","XP_018241507.1","NC_030987.1","+","2","hypothetical protein",1045728,1046241,1045728,1046241,1,"Chromosome_2"
"FOXG_05942","XM_018384429.1","XP_018241508.1","NC_030987.1","+","1","hypothetical protein",1047478,1048359,1047478,1048359,1,"Chromosome_2"
"FOXG_05943","XM_018384430.1","XP_018241509.1","NC_030987.1","-","3","ubiquitin-conjugating enzyme E2",1048449,1049876,1048449,1049876,1,"Chromosome_2"
"FOXG_05944","XM_018384431.1","XP_018241510.1","NC_030987.1","+","2","cell division cycle 20-like protein 1, cofactor-APC complex",1049905,1053473,1049905,1053473,2,"Chromosome_2"
"FOXG_05944","XM_018384432.1","XP_018241511.1","NC_030987.1","+","2","cell division cycle 20-like protein 1, cofactor-APC complex",1049905,1053228,1049905,1053473,2,"Chromosome_2"
"FOXG_05945","XM_018384433.1","XP_018241512.1","NC_030987.1","-","2","hypothetical protein",1051834,1054546,1051834,1054546,1,"Chromosome_2"
"FOXG_05946","XM_018384434.1","XP_018241513.1","NC_030987.1","-","1","hypothetical protein",1054815,1056129,1054815,1056129,1,"Chromosome_2"
"FOXG_05947","XM_018384435.1","XP_018241514.1","NC_030987.1","+","1","hypothetical protein",1056639,1058375,1056639,1058375,1,"Chromosome_2"
"FOXG_05948","XM_018384436.1","XP_018241515.1","NC_030987.1","-","1","hypothetical protein",1058731,1060310,1058731,1060310,1,"Chromosome_2"
"FOXG_05949","XM_018384437.1","XP_018241516.1","NC_030987.1","-","3","hypothetical protein",1061393,1062606,1061393,1062606,1,"Chromosome_2"
"FOXG_05950","XM_018384438.1","XP_018241517.1","NC_030987.1","-","2","hypothetical protein",1064728,1067103,1064728,1067103,1,"Chromosome_2"
"FOXG_05951","XM_018384439.1","XP_018241518.1","NC_030987.1","+","1","hypothetical protein",1073606,1075534,1073606,1075534,1,"Chromosome_2"
"FOXG_19147","XM_018399329.1","XP_018241519.1","NC_030987.1","-","5","hypothetical protein",1075524,1078718,1075524,1078718,2,"Chromosome_2"
"FOXG_19147","XM_018399330.1","XP_018241520.1","NC_030987.1","-","4","hypothetical protein",1075524,1078718,1075524,1078718,2,"Chromosome_2"
"FOXG_05954","XM_018384440.1","XP_018241521.1","NC_030987.1","-","3","hypothetical protein",1079430,1080573,1079430,1080573,1,"Chromosome_2"
"FOXG_05956","XM_018384442.1","XP_018241522.1","NC_030987.1","+","2","homoserine dehydrogenase",1082841,1085466,1082841,1085466,1,"Chromosome_2"
"FOXG_05955","XM_018384441.1","XP_018241523.1","NC_030987.1","-","1","hypothetical protein",1082858,1083808,1082858,1083808,1,"Chromosome_2"
"FOXG_19148","XM_018399331.1","XP_018241524.1","NC_030987.1","-","2","hypothetical protein",1084145,1085943,1084145,1085943,1,"Chromosome_2"
"FOXG_05957","XM_018384443.1","XP_018241525.1","NC_030987.1","+","3","tRNA (guanine-N(7)-)-methyltransferase",1085883,1087174,1085883,1087174,2,"Chromosome_2"
"FOXG_05957","XM_018384444.1","XP_018241526.1","NC_030987.1","+","3","tRNA (guanine-N(7)-)-methyltransferase",1086074,1087174,1085883,1087174,2,"Chromosome_2"
"FOXG_05958","XM_018384445.1","XP_018241527.1","NC_030987.1","+","2","hypothetical protein",1087405,1091608,1087405,1091608,1,"Chromosome_2"
"FOXG_05959","XM_018384446.1","XP_018241528.1","NC_030987.1","+","7","hypothetical protein",1091755,1094082,1091755,1094082,2,"Chromosome_2"
"FOXG_05959","XM_018384447.1","XP_018241529.1","NC_030987.1","+","7","hypothetical protein",1091755,1094082,1091755,1094082,2,"Chromosome_2"
"FOXG_05960","XM_018384448.1","XP_018241530.1","NC_030987.1","-","2","hypothetical protein",1092909,1097222,1092909,1097222,1,"Chromosome_2"
"FOXG_05961","XM_018384450.1","XP_018241532.1","NC_030987.1","+","2","fructose-1,6-bisphosphatase",1097259,1099452,1097259,1099452,2,"Chromosome_2"
"FOXG_05961","XM_018384449.1","XP_018241531.1","NC_030987.1","+","3","fructose-1,6-bisphosphatase",1097259,1099452,1097259,1099452,2,"Chromosome_2"
"FOXG_05962","XM_018384451.1","XP_018241533.1","NC_030987.1","-","2","hypothetical protein",1100332,1101715,1100332,1101715,1,"Chromosome_2"
"FOXG_19149","XM_018399332.1","XP_018241534.1","NC_030987.1","-","2","hypothetical protein",1106821,1107026,1106821,1107026,1,"Chromosome_2"
"FOXG_19150","XM_018399333.1","XP_018241535.1","NC_030987.1","-","2","hypothetical protein",1108203,1108624,1108203,1108624,1,"Chromosome_2"
"FOXG_19151","XM_018399334.1","XP_018241536.1","NC_030987.1","-","1","hypothetical protein",1110229,1110336,1110229,1110336,1,"Chromosome_2"
"FOXG_05963","XM_018384453.1","XP_018241538.1","NC_030987.1","+","2","hypothetical protein",1116871,1118863,1116871,1118863,2,"Chromosome_2"
"FOXG_05963","XM_018384452.1","XP_018241537.1","NC_030987.1","+","3","hypothetical protein",1116875,1118863,1116871,1118863,2,"Chromosome_2"
"FOXG_05964","XM_018384454.1","XP_018241539.1","NC_030987.1","+","4","hypothetical protein",1120666,1121518,1120666,1121518,1,"Chromosome_2"
"FOXG_05965","XM_018384455.1","XP_018241540.1","NC_030987.1","-","4","hypothetical protein",1121810,1124378,1121810,1124378,1,"Chromosome_2"
"FOXG_05966","XM_018384456.1","XP_018241541.1","NC_030987.1","-","3","CAMK/CAMKL/KIN1 protein kinase",1124607,1129412,1124607,1129412,2,"Chromosome_2"
"FOXG_05966","XM_018384457.1","XP_018241542.1","NC_030987.1","-","4","CAMK/CAMKL/KIN1 protein kinase",1124607,1129328,1124607,1129412,2,"Chromosome_2"
"FOXG_19152","XM_018399335.1","XP_018241543.1","NC_030987.1","+","2","hypothetical protein",1130345,1130548,1130345,1130548,1,"Chromosome_2"
"FOXG_05967","XM_018384458.1","XP_018241544.1","NC_030987.1","+","2","hypothetical protein",1130743,1133336,1130743,1133336,1,"Chromosome_2"
"FOXG_05968","XM_018384459.1","XP_018241545.1","NC_030987.1","+","4","dipeptidyl-peptidase III",1133689,1136068,1133689,1136068,1,"Chromosome_2"
"FOXG_05969","XM_018384460.1","XP_018241546.1","NC_030987.1","-","3","hypothetical protein",1136422,1138774,1136422,1138774,1,"Chromosome_2"
"FOXG_05970","XM_018384462.1","XP_018241548.1","NC_030987.1","-","4","hypothetical protein",1139770,1142042,1139770,1142042,2,"Chromosome_2"
"FOXG_05970","XM_018384461.1","XP_018241547.1","NC_030987.1","-","3","hypothetical protein",1139770,1142042,1139770,1142042,2,"Chromosome_2"
"FOXG_05971","XM_018384463.1","XP_018241549.1","NC_030987.1","-","4","protein transporter sec-13",1142878,1144465,1142878,1144465,1,"Chromosome_2"
"FOXG_05972","XM_018384464.1","XP_018241550.1","NC_030987.1","+","2","hypothetical protein",1144927,1145988,1144927,1145988,1,"Chromosome_2"
"FOXG_05973","XM_018384465.1","XP_018241551.1","NC_030987.1","-","4","hypothetical protein",1146807,1149259,1146807,1149259,1,"Chromosome_2"
"FOXG_05974","XM_018384466.1","XP_018241552.1","NC_030987.1","+","2","hypothetical protein",1151206,1154481,1151206,1154481,1,"Chromosome_2"
"FOXG_05975","XM_018384467.1","XP_018241553.1","NC_030987.1","+","1","mitochondrial chaperone BCS1",1156258,1158933,1156258,1158933,1,"Chromosome_2"
"FOXG_05976","XM_018384469.1","XP_018241555.1","NC_030987.1","+","2","hydroxymethylglutaryl-CoA synthase",1161641,1166102,1161641,1166102,3,"Chromosome_2"
"FOXG_05976","XM_018384470.1","XP_018241556.1","NC_030987.1","+","2","hydroxymethylglutaryl-CoA synthase",1161641,1166102,1161641,1166102,3,"Chromosome_2"
"FOXG_05976","XM_018384468.1","XP_018241554.1","NC_030987.1","+","3","hydroxymethylglutaryl-CoA synthase",1161641,1166102,1161641,1166102,3,"Chromosome_2"
"FOXG_05977","XM_018384471.1","XP_018241557.1","NC_030987.1","-","1","delta24-sterol reductase",1164101,1166111,1164101,1166111,1,"Chromosome_2"
"FOXG_05978","XM_018384472.1","XP_018241558.1","NC_030987.1","-","2","hypothetical protein",1166225,1168447,1166225,1168447,1,"Chromosome_2"
"FOXG_05979","XM_018384473.1","XP_018241559.1","NC_030987.1","-","4","hypothetical protein",1168958,1170683,1168958,1170683,1,"Chromosome_2"
"FOXG_05980","XM_018384474.1","XP_018241560.1","NC_030987.1","+","3","kinetochore protein NDC80",1170825,1173784,1170825,1173784,1,"Chromosome_2"
"FOXG_05981","XM_018384475.1","XP_018241561.1","NC_030987.1","+","2","hypothetical protein",1174537,1176539,1174537,1176539,1,"Chromosome_2"
"FOXG_19153","XM_018399336.1","XP_018241562.1","NC_030987.1","+","2","hypothetical protein",1176559,1177284,1176559,1177284,1,"Chromosome_2"
"FOXG_05982","XM_018384476.1","XP_018241563.1","NC_030987.1","-","2","DNA excision repair protein ERCC-1",1176646,1179342,1176646,1179342,1,"Chromosome_2"
"FOXG_05983","XM_018384477.1","XP_018241564.1","NC_030987.1","-","1","hypothetical protein",1179947,1182909,1179947,1182909,1,"Chromosome_2"
"FOXG_19154","XM_018399337.1","XP_018241565.1","NC_030987.1","+","3","hypothetical protein",1181680,1181893,1181680,1181893,1,"Chromosome_2"
"FOXG_05984","XM_018384478.1","XP_018241566.1","NC_030987.1","+","2","mandelate racemase",1183848,1185730,1183848,1185730,1,"Chromosome_2"
"FOXG_05985","XM_018384479.1","XP_018241567.1","NC_030987.1","+","2","GPI mannosyltransferase 2",1186902,1188393,1186902,1188393,1,"Chromosome_2"
"FOXG_05986","XM_018384480.1","XP_018241568.1","NC_030987.1","+","2","hypothetical protein",1188671,1189168,1188671,1189168,1,"Chromosome_2"
"FOXG_05987","XM_018384481.1","XP_018241569.1","NC_030987.1","-","3","hypothetical protein",1190128,1194244,1190128,1194244,1,"Chromosome_2"
"FOXG_19155","XM_018399338.1","XP_018241570.1","NC_030987.1","+","3","hypothetical protein",1195766,1197594,1195766,1197594,1,"Chromosome_2"
"FOXG_05990","XM_018384482.1","XP_018241571.1","NC_030987.1","+","2","hypothetical protein",1198180,1198928,1198180,1198928,1,"Chromosome_2"
"FOXG_05991","XM_018384483.1","XP_018241572.1","NC_030987.1","-","2","hypothetical protein",1198803,1200314,1198803,1200314,1,"Chromosome_2"
"FOXG_05992","XM_018384484.1","XP_018241573.1","NC_030987.1","-","3","NADH-ubiquinone oxidoreductase 51 kDa subunit, mitochondrial",1200354,1202286,1200354,1202286,2,"Chromosome_2"
"FOXG_05992","XM_018384485.1","XP_018241574.1","NC_030987.1","-","2","NADH-ubiquinone oxidoreductase 51 kDa subunit, mitochondrial",1200354,1202286,1200354,1202286,2,"Chromosome_2"
"FOXG_05993","XM_018384486.1","XP_018241575.1","NC_030987.1","+","2","dynactin 6",1202440,1205003,1202440,1205003,1,"Chromosome_2"
"FOXG_05994","XM_018384487.1","XP_018241576.1","NC_030987.1","-","2","hypothetical protein",1203310,1204964,1203310,1204964,1,"Chromosome_2"
"FOXG_05995","XM_018384488.1","XP_018241577.1","NC_030987.1","-","2","hypothetical protein",1205121,1208987,1205121,1208987,1,"Chromosome_2"
"FOXG_05996","XM_018384489.1","XP_018241578.1","NC_030987.1","-","4","hydroxyacid-oxoacid transhydrogenase",1209085,1211201,1209085,1211201,1,"Chromosome_2"
"FOXG_05997","XM_018384490.1","XP_018241579.1","NC_030987.1","+","4","hypothetical protein",1212187,1217829,1212187,1217829,2,"Chromosome_2"
"FOXG_05997","XM_018384491.1","XP_018241580.1","NC_030987.1","+","4","hypothetical protein",1212217,1217740,1212187,1217829,2,"Chromosome_2"
"FOXG_05998","XM_018384492.1","XP_018241581.1","NC_030987.1","+","1","hypothetical protein",1217875,1221075,1217875,1221075,1,"Chromosome_2"
"FOXG_19156","XM_018399339.1","XP_018241582.1","NC_030987.1","-","6","E3 ubiquitin-protein ligase TRIP12",1217896,1228528,1217896,1228528,3,"Chromosome_2"
"FOXG_19156","XM_018399341.1","XP_018241584.1","NC_030987.1","-","5","E3 ubiquitin-protein ligase TRIP12",1217896,1228528,1217896,1228528,3,"Chromosome_2"
"FOXG_19156","XM_018399340.1","XP_018241583.1","NC_030987.1","-","5","E3 ubiquitin-protein ligase TRIP12",1217896,1228386,1217896,1228528,3,"Chromosome_2"
"FOXG_06001","XM_018384493.1","XP_018241585.1","NC_030987.1","-","2","2-oxoisovalerate dehydrogenase E1 component, alpha subunit",1229346,1231139,1229346,1231139,1,"Chromosome_2"
"FOXG_19157","XM_018399342.1","XP_018241586.1","NC_030987.1","+","1","hypothetical protein",1231642,1231824,1231642,1231824,1,"Chromosome_2"
"FOXG_06002","XM_018384494.1","XP_018241587.1","NC_030987.1","+","2","ubiquinone biosynthesis methyltransferase",1231948,1235459,1231948,1235459,1,"Chromosome_2"
"FOXG_06003","XM_018384495.1","XP_018241588.1","NC_030987.1","-","3","hypothetical protein",1233003,1236141,1233003,1236141,1,"Chromosome_2"
"FOXG_06004","XM_018384496.1","XP_018241589.1","NC_030987.1","+","3","hypothetical protein",1239083,1243302,1239083,1243302,1,"Chromosome_2"
"FOXG_06005","XM_018384497.1","XP_018241590.1","NC_030987.1","-","1","hypothetical protein",1245758,1246066,1245758,1246066,1,"Chromosome_2"
"FOXG_19158","XM_018399344.1","XP_018241592.1","NC_030987.1","+","6","CCR4-NOT transcription complex subunit 4",1246471,1254297,1246471,1254297,3,"Chromosome_2"
"FOXG_19158","XM_018399343.1","XP_018241591.1","NC_030987.1","+","5","CCR4-NOT transcription complex subunit 4",1246471,1253898,1246471,1254297,3,"Chromosome_2"
"FOXG_19158","XM_018399345.1","XP_018241593.1","NC_030987.1","+","5","CCR4-NOT transcription complex subunit 4",1246471,1253898,1246471,1254297,3,"Chromosome_2"
"FOXG_06006","XM_018384498.1","XP_018241594.1","NC_030987.1","-","2","NADH-ubiquinone oxidoreductase 30.4 kDa subunit, mitochondrial",1246698,1247618,1246698,1247618,1,"Chromosome_2"
"FOXG_06009","XM_018384499.1","XP_018241595.1","NC_030987.1","-","3","hypothetical protein",1254370,1256481,1254370,1256481,1,"Chromosome_2"
"FOXG_06010","XM_018384502.1","XP_018241598.1","NC_030987.1","+","2","hypothetical protein",1256632,1258563,1256632,1258563,3,"Chromosome_2"
"FOXG_06010","XM_018384500.1","XP_018241596.1","NC_030987.1","+","3","hypothetical protein",1256632,1258563,1256632,1258563,3,"Chromosome_2"
"FOXG_06010","XM_018384501.1","XP_018241597.1","NC_030987.1","+","3","hypothetical protein",1256889,1258424,1256632,1258563,3,"Chromosome_2"
"FOXG_06011","XM_018384503.1","XP_018241599.1","NC_030987.1","+","1","hypothetical protein",1260130,1260393,1260130,1260393,1,"Chromosome_2"
"FOXG_06012","XM_018384504.1","XP_018241600.1","NC_030987.1","-","2","serine/threonine-protein phosphatase 2A activator 1",1260269,1262460,1260269,1262460,1,"Chromosome_2"
"FOXG_06013","XM_018384505.1","XP_018241601.1","NC_030987.1","+","1","hypothetical protein",1262878,1266061,1262878,1266061,1,"Chromosome_2"
"FOXG_19159","XM_018399348.1","XP_018241604.1","NC_030987.1","+","3","hypothetical protein",1266857,1271595,1266857,1271595,6,"Chromosome_2"
"FOXG_19159","XM_018399346.1","XP_018241602.1","NC_030987.1","+","5","hypothetical protein",1266857,1271595,1266857,1271595,6,"Chromosome_2"
"FOXG_19159","XM_018399350.1","XP_018241606.1","NC_030987.1","+","4","hypothetical protein",1266857,1271595,1266857,1271595,6,"Chromosome_2"
"FOXG_19159","XM_018399349.1","XP_018241605.1","NC_030987.1","+","2","hypothetical protein",1267321,1271595,1266857,1271595,6,"Chromosome_2"
"FOXG_19159","XM_018399347.1","XP_018241603.1","NC_030987.1","+","4","hypothetical protein",1267321,1271595,1266857,1271595,6,"Chromosome_2"
"FOXG_19159","XM_018399351.1","XP_018241607.1","NC_030987.1","+","3","hypothetical protein",1267321,1271595,1266857,1271595,6,"Chromosome_2"
"FOXG_19160","XM_018399352.1","XP_018241608.1","NC_030987.1","+","1","hypothetical protein",1271691,1274832,1271691,1274832,1,"Chromosome_2"
"FOXG_06016","XM_018384506.1","XP_018241609.1","NC_030987.1","+","3","hypothetical protein",1275211,1277013,1275211,1277013,1,"Chromosome_2"
"FOXG_06017","XM_018384507.1","XP_018241610.1","NC_030987.1","+","2","hypothetical protein",1277949,1279397,1277949,1279397,1,"Chromosome_2"
"FOXG_06018","XM_018384508.1","XP_018241611.1","NC_030987.1","+","2","hypothetical protein",1279576,1281864,1279576,1281864,1,"Chromosome_2"
"FOXG_06019","XM_018384509.1","XP_018241612.1","NC_030987.1","-","2","hypothetical protein",1282271,1283345,1282271,1283345,1,"Chromosome_2"
"FOXG_06020","XM_018384510.1","XP_018241613.1","NC_030987.1","-","2","hypothetical protein",1284271,1286565,1284271,1286565,1,"Chromosome_2"
"FOXG_06021","XM_018384511.1","XP_018241614.1","NC_030987.1","+","5","hypothetical protein",1287661,1288212,1287661,1288212,1,"Chromosome_2"
"FOXG_06022","XM_018384512.1","XP_018241615.1","NC_030987.1","+","4","hypothetical protein",1290265,1292226,1290265,1292226,1,"Chromosome_2"
"FOXG_06023","XM_018384513.1","XP_018241616.1","NC_030987.1","-","2","NAD-dependent histone deacetylase SIR2",1291985,1294201,1291985,1294225,4,"Chromosome_2"
"FOXG_06023","XM_018384514.1","XP_018241617.1","NC_030987.1","-","3","NAD-dependent histone deacetylase SIR2",1292412,1294225,1291985,1294225,4,"Chromosome_2"
"FOXG_06023","XM_018384516.1","XP_018241619.1","NC_030987.1","-","2","NAD-dependent histone deacetylase SIR2",1292412,1294195,1291985,1294225,4,"Chromosome_2"
"FOXG_06023","XM_018384515.1","XP_018241618.1","NC_030987.1","-","3","NAD-dependent histone deacetylase SIR2",1292417,1294188,1291985,1294225,4,"Chromosome_2"
"FOXG_06024","XM_018384517.1","XP_018241620.1","NC_030987.1","-","4","negative cofactor 2 complex subunit beta",1294495,1296225,1294495,1296225,1,"Chromosome_2"
"FOXG_06025","XM_018384518.1","XP_018241621.1","NC_030987.1","-","4","hypothetical protein",1297218,1298389,1297218,1298389,2,"Chromosome_2"
"FOXG_06025","XM_018384519.1","XP_018241622.1","NC_030987.1","-","3","hypothetical protein",1297218,1298389,1297218,1298389,2,"Chromosome_2"
"FOXG_06026","XM_018384520.1","XP_018241623.1","NC_030987.1","+","2","hypothetical protein",1298390,1300002,1298390,1300002,1,"Chromosome_2"
"FOXG_06027","XM_018384521.1","XP_018241624.1","NC_030987.1","-","2","hypothetical protein",1300080,1301114,1300080,1301114,1,"Chromosome_2"
"FOXG_06028","XM_018384522.1","XP_018241625.1","NC_030987.1","-","1","homocysteine S-methyltransferase",1301372,1302807,1301372,1302807,1,"Chromosome_2"
"FOXG_06029","XM_018384523.1","XP_018241626.1","NC_030987.1","+","1","hypothetical protein",1303568,1304089,1303568,1304089,1,"Chromosome_2"
"FOXG_19163","XM_018399353.1","XP_018241627.1","NC_030987.1","-","2","hypothetical protein",1305033,1305397,1305033,1305397,1,"Chromosome_2"
"FOXG_19164","XM_018399354.1","XP_018241628.1","NC_030987.1","+","2","hypothetical protein",1306207,1306388,1306207,1306388,1,"Chromosome_2"
"FOXG_19165","XM_018399355.1","XP_018241629.1","NC_030987.1","-","1","hypothetical protein",1309165,1309263,1309165,1309263,1,"Chromosome_2"
"FOXG_06031","XM_018384526.1","XP_018241632.1","NC_030987.1","-","4","hypothetical protein",1309768,1313175,1309768,1313175,1,"Chromosome_2"
"FOXG_06030","XM_018384524.1","XP_018241630.1","NC_030987.1","+","2","retrograde regulation protein 2",1309768,1312247,1309768,1312247,2,"Chromosome_2"
"FOXG_06030","XM_018384525.1","XP_018241631.1","NC_030987.1","+","2","retrograde regulation protein 2",1309826,1312232,1309768,1312247,2,"Chromosome_2"
"FOXG_06032","XM_018384527.1","XP_018241633.1","NC_030987.1","-","2","hypothetical protein",1313564,1314970,1313564,1314970,1,"Chromosome_2"
"FOXG_06033","XM_018384528.1","XP_018241634.1","NC_030987.1","-","3","hypothetical protein",1315385,1316373,1315385,1316373,2,"Chromosome_2"
"FOXG_06033","XM_018384529.1","XP_018241635.1","NC_030987.1","-","4","hypothetical protein",1315399,1316373,1315385,1316373,2,"Chromosome_2"
"FOXG_06034","XM_018384530.1","XP_018241636.1","NC_030987.1","+","2","hypothetical protein",1317267,1318672,1317267,1318672,1,"Chromosome_2"
"FOXG_06035","XM_018384532.1","XP_018241638.1","NC_030987.1","+","2","hypothetical protein",1319038,1321023,1319038,1321023,2,"Chromosome_2"
"FOXG_06035","XM_018384531.1","XP_018241637.1","NC_030987.1","+","3","hypothetical protein",1319038,1321023,1319038,1321023,2,"Chromosome_2"
"FOXG_06036","XM_018384533.1","XP_018241639.1","NC_030987.1","-","1","hypothetical protein",1321429,1322130,1321429,1322130,1,"Chromosome_2"
"FOXG_06037","XM_018384534.1","XP_018241640.1","NC_030987.1","+","2","hypothetical protein",1322840,1325077,1322840,1325077,1,"Chromosome_2"
"FOXG_06038","XM_018384535.1","XP_018241641.1","NC_030987.1","+","5","pectate lyase C",1325325,1326924,1325325,1326924,1,"Chromosome_2"
"FOXG_06039","XM_018384536.1","XP_018241642.1","NC_030987.1","+","3","hypothetical protein",1327226,1328944,1327226,1328944,1,"Chromosome_2"
"FOXG_06040","XM_018384537.1","XP_018241643.1","NC_030987.1","+","4","hypothetical protein",1329362,1332009,1329362,1332009,1,"Chromosome_2"
"FOXG_06041","XM_018384538.1","XP_018241644.1","NC_030987.1","+","1","hypothetical protein",1332437,1337673,1332437,1337673,1,"Chromosome_2"
"FOXG_19166","XM_018399356.1","XP_018241645.1","NC_030987.1","-","2","hypothetical protein",1332558,1334753,1332558,1334753,1,"Chromosome_2"
"FOXG_19167","XM_018399360.1","XP_018241649.1","NC_030987.1","-","1","hypothetical protein",1335066,1337333,1335066,1337673,6,"Chromosome_2"
"FOXG_19167","XM_018399361.1","XP_018241650.1","NC_030987.1","-","1","hypothetical protein",1335066,1337333,1335066,1337673,6,"Chromosome_2"
"FOXG_19167","XM_018399358.1","XP_018241647.1","NC_030987.1","-","1","hypothetical protein",1335066,1337333,1335066,1337673,6,"Chromosome_2"
"FOXG_19167","XM_018399357.1","XP_018241646.1","NC_030987.1","-","2","hypothetical protein",1335086,1337673,1335066,1337673,6,"Chromosome_2"
"FOXG_19167","XM_018399362.1","XP_018241651.1","NC_030987.1","-","1","hypothetical protein",1335086,1337333,1335066,1337673,6,"Chromosome_2"
"FOXG_19167","XM_018399359.1","XP_018241648.1","NC_030987.1","-","1","hypothetical protein",1335086,1337333,1335066,1337673,6,"Chromosome_2"
"FOXG_06043","XM_018384539.1","XP_018241652.1","NC_030987.1","-","2","hypothetical protein",1337862,1339713,1337862,1339713,1,"Chromosome_2"
"FOXG_19168","XM_018399363.1","XP_018241653.1","NC_030987.1","-","1","hypothetical protein",1340612,1340734,1340612,1340734,1,"Chromosome_2"
"FOXG_06044","XM_018384540.1","XP_018241654.1","NC_030987.1","+","4","hypothetical protein",1340781,1343440,1340781,1343440,1,"Chromosome_2"
"FOXG_06045","XM_018384541.1","XP_018241655.1","NC_030987.1","-","1","hypothetical protein",1343740,1344318,1343740,1344318,1,"Chromosome_2"
"FOXG_06046","XM_018384542.1","XP_018241656.1","NC_030987.1","+","1","hypothetical protein",1345254,1345979,1345254,1345979,1,"Chromosome_2"
"FOXG_06047","XM_018384544.1","XP_018241658.1","NC_030987.1","-","5","hypothetical protein",1346806,1348927,1346806,1348927,8,"Chromosome_2"
"FOXG_06047","XM_018384543.1","XP_018241657.1","NC_030987.1","-","4","hypothetical protein",1346806,1348763,1346806,1348927,8,"Chromosome_2"
"FOXG_06047","XM_018384550.1","XP_018241664.1","NC_030987.1","-","4","hypothetical protein",1346806,1348712,1346806,1348927,8,"Chromosome_2"
"FOXG_06047","XM_018384547.1","XP_018241661.1","NC_030987.1","-","3","hypothetical protein",1346806,1348712,1346806,1348927,8,"Chromosome_2"
"FOXG_06047","XM_018384548.1","XP_018241662.1","NC_030987.1","-","4","hypothetical protein",1346806,1348712,1346806,1348927,8,"Chromosome_2"
"FOXG_06047","XM_018384545.1","XP_018241659.1","NC_030987.1","-","3","hypothetical protein",1346806,1348712,1346806,1348927,8,"Chromosome_2"
"FOXG_06047","XM_018384549.1","XP_018241663.1","NC_030987.1","-","3","hypothetical protein",1346806,1348712,1346806,1348927,8,"Chromosome_2"
"FOXG_06047","XM_018384546.1","XP_018241660.1","NC_030987.1","-","2","hypothetical protein",1346806,1348712,1346806,1348927,8,"Chromosome_2"
"FOXG_06048","XM_018384551.1","XP_018241665.1","NC_030987.1","+","2","hypothetical protein",1350920,1354488,1350920,1354488,1,"Chromosome_2"
"FOXG_06049","XM_018384552.1","XP_018241666.1","NC_030987.1","+","9","hypothetical protein",1354674,1358120,1354674,1358120,1,"Chromosome_2"
"FOXG_06050","XM_018384553.1","XP_018241667.1","NC_030987.1","+","1","hypothetical protein",1358438,1359753,1358438,1359753,1,"Chromosome_2"
"FOXG_06051","XM_018384554.1","XP_018241668.1","NC_030987.1","-","4","hypothetical protein",1360406,1362491,1360406,1362491,1,"Chromosome_2"
"FOXG_19170","XM_018399364.1","XP_018241669.1","NC_030987.1","-","1","hypothetical protein",1365429,1365828,1365429,1365828,1,"Chromosome_2"
"FOXG_19171","XM_018399365.1","XP_018241670.1","NC_030987.1","+","1","hypothetical protein",1368867,1369001,1368867,1369001,1,"Chromosome_2"
"FOXG_06053","XM_018384555.1","XP_018241671.1","NC_030987.1","-","1","hypothetical protein",1371514,1372974,1371514,1372974,1,"Chromosome_2"
"FOXG_06054","XM_018384556.1","XP_018241672.1","NC_030987.1","+","1","hypothetical protein",1374475,1376295,1374475,1376295,1,"Chromosome_2"
"FOXG_06055","XM_018384557.1","XP_018241673.1","NC_030987.1","+","6","hypothetical protein",1377021,1378955,1377021,1378955,1,"Chromosome_2"
"FOXG_06056","XM_018384558.1","XP_018241674.1","NC_030987.1","+","4","hypothetical protein",1379361,1383585,1379361,1383585,1,"Chromosome_2"
"FOXG_06057","XM_018384559.1","XP_018241675.1","NC_030987.1","-","1","hypothetical protein",1381892,1383544,1381892,1383544,1,"Chromosome_2"
"FOXG_06059","XM_018384561.1","XP_018241676.1","NC_030987.1","-","3","hypothetical protein",1384396,1390444,1384396,1390444,3,"Chromosome_2"
"FOXG_06059","XM_018384563.1","XP_018241678.1","NC_030987.1","-","2","hypothetical protein",1384396,1390444,1384396,1390444,3,"Chromosome_2"
"FOXG_06059","XM_018384562.1","XP_018241677.1","NC_030987.1","-","2","hypothetical protein",1388070,1390280,1384396,1390444,3,"Chromosome_2"
"FOXG_06058","XM_018384560.1","XP_018241679.1","NC_030987.1","+","1","hypothetical protein",1384566,1388044,1384566,1388044,1,"Chromosome_2"
"FOXG_06060","XM_018384564.1","XP_018241680.1","NC_030987.1","-","3","hypothetical protein",1390861,1391870,1390861,1391870,1,"Chromosome_2"
"FOXG_06061","XM_018384566.1","XP_018241682.1","NC_030987.1","+","3","squalene synthase",1393235,1395876,1393235,1395876,2,"Chromosome_2"
"FOXG_06061","XM_018384565.1","XP_018241681.1","NC_030987.1","+","4","squalene synthase",1393235,1395876,1393235,1395876,2,"Chromosome_2"
"FOXG_06062","XM_018384568.1","XP_018241684.1","NC_030987.1","-","5","hypothetical protein",1396008,1399239,1396008,1399239,2,"Chromosome_2"
